Group[0]
Name=      0_26 : profit=240, weight= 68
Name=      3_13 : profit= 75, weight= 21
Name=      3_15 : profit= 67, weight= 25
Name=      3_14 : profit= 59, weight= 21
Name=      3_11 : profit= 52, weight= 20
Name=      3_12 : profit= 51, weight= 20
Name=       3_6 : profit= 33, weight= 15
Name=       3_8 : profit= 32, weight= 13
Name=       3_7 : profit= 30, weight= 14
Name=       3_9 : profit= 27, weight= 12
Name=      3_10 : profit= 26, weight= 14
Name=       3_3 : profit= 17, weight=  8
Name=       3_5 : profit= 16, weight=  8
Name=       3_1 : profit= 13, weight=  8
Name=       3_4 : profit= 11, weight=  9
Name=       3_2 : profit=  5, weight=  9
Group[4]
Name=      4_30 : profit=296, weight= 48
Name=      4_26 : profit=286, weight= 48
Name=      4_28 : profit=285, weight= 48
Name=      4_27 : profit=276, weight= 45
Name=      4_29 : profit=245, weight= 42
Name=      4_22 : profit=163, weight= 38
Name=      4_25 : profit=162, weight= 38
Name=      4_21 : profit=161, weight= 39
Name=      4_24 : profit=155, weight= 36
Name=      4_23 : profit=144, weight= 34
Name=      4_20 : profit= 93, weight= 31
Name=      4_16 : profit= 92, weight= 31
Name=      4_19 : profit= 92, weight= 32
Name=      4_18 : profit= 86, weight= 28
Name=      4_17 : profit= 80, weight= 27
Name=      4_11 : profit= 41, weight= 19
Name=      4_15 : profit= 41, weight= 22
Name=      4_13 : profit= 40, weight= 18
Name=      4_14 : profit= 39, weight= 22
Name=      4_12 : profit= 34, weight= 20
Name=       4_7 : profit= 27, weight= 15
Name=       4_8 : profit= 26, weight= 14
Name=      4_10 : profit= 25, weight= 14
Name=       4_6 : profit= 22, weight= 14
Name=       4_2 : profit= 14, weight=  9
Name=       4_9 : profit= 14, weight= 16
Name=       4_3 : profit= 12, weight= 10
Name=       4_4 : profit= 12, weight=  6
Name=       4_1 : profit= 11, weight=  6
Name=       4_5 : profit=  9, weight=  7
Group[5]
Name=      5_28 : profit=282, weight= 51
Name=      5_26 : profit=269, weight= 47
Name=      5_27 : profit=263, weight= 47
Name=      5_30 : profit=259, weight= 47
Name=      5_29 : profit=254, weight= 47
Name=      5_24 : profit=144, weight= 43
Name=      5_22 : profit=140, weight= 40
Name=      5_23 : profit=136, weight= 41
Name=      5_25 : profit=132, weight= 41
Name=      5_21 : profit=130, weight= 41
Name=      5_20 : profit=106, weight= 39
Name=      5_18 : profit= 97, weight= 37
Name=      5_16 : profit= 84, weight= 34
Name=      5_19 : profit= 84, weight= 31
Name=      5_17 : profit= 83, weight= 31
Name=      5_12 : profit= 75, weight= 28
Name=      5_13 : profit= 74, weight= 27
Name=      5_11 : profit= 73, weight= 28
Name=      5_14 : profit= 73, weight= 28
Name=      5_15 : profit= 68, weight= 26
Name=       5_9 : profit= 49, weight= 21
Name=       5_8 : profit= 46, weight= 18
Name=       5_7 : profit= 45, weight= 21
Name=      5_10 : profit= 40, weight= 18
Name=       5_6 : profit= 39, weight= 19
Name=       5_2 : profit= 28, weight= 12
Name=       5_1 : profit= 17, weight=  8
Name=       5_4 : profit= 14, weight=  6
Name=       5_5 : profit= 14, weight=  7
Name=       5_3 : profit= 13, weight=  5
Group[6]
Name=      6_27 : profit=184, weight= 61
Name=      6_28 : profit=177, weight= 57
Name=      6_29 : profit=176, weight= 58
Name=      6_30 : profit=176, weight= 62
Name=      6_26 : profit=163, weight= 56
Name=      6_21 : profit=123, weight= 51
Name=      6_23 : profit=123, weight= 54
Name=      6_24 : profit=119, weight= 51
Name=      6_25 : profit=116, weight= 51
Name=      6_22 : profit=113, weight= 49
Name=      6_18 : profit= 88, weight= 41
Name=      6_20 : profit= 84, weight= 34
Name=      6_19 : profit= 78, weight= 40
Name=      6_16 : profit= 73, weight= 39
Name=      6_11 : profit= 70, weight= 32
Name=      6_17 : profit= 70, weight= 34
Name=      6_13 : profit= 66, weight= 31
Name=      6_15 : profit= 57, weight= 28
Name=      6_12 : profit= 55, weight= 24
Name=      6_14 : profit= 52, weight= 25
Name=       6_6 : profit= 34, weight= 17
Name=       6_8 : profit= 34, weight= 19
Name=       6_9 : profit= 32, weight= 17
Name=      6_10 : profit= 32, weight= 17
Name=       6_7 : profit= 30, weight= 17
Name=       6_4 : profit=  8, weight=  5
Name=       6_2 : profit=  7, weight=  5
Name=       6_1 : profit=  6, weight= 10
Name=       6_3 : profit=  5, weight=  5
Name=       6_5 : profit=  5, weight=  6
Group[7]
Name=      7_30 : profit=245, weight= 48
Name=      7_28 : profit=235, weight= 48
Name=      7_27 : profit=230, weight= 46
Name=      7_29 : profit=219, weight= 44
Name=      7_26 : profit=211, weight= 44
Name=      7_22 : profit= 76, weight= 42
Name=      7_24 : profit= 73, weight= 40
Name=      7_23 : profit= 65, weight= 38
Name=      7_21 : profit= 64, weight= 37
Name=      7_25 : profit= 64, weight= 39
Name=      7_16 : profit= 48, weight= 29
Name=      7_18 : profit= 44, weight= 29
Name=      7_17 : profit= 43, weight= 27
Name=      7_19 : profit= 40, weight= 28
Name=      7_15 : profit= 33, weight= 21
Name=      7_13 : profit= 32, weight= 23
Name=      7_14 : profit= 31, weight= 21
Name=       7_8 : profit= 30, weight= 17
Name=      7_10 : profit= 29, weight= 18
Name=       7_7 : profit= 28, weight= 20
Name=      7_12 : profit= 28, weight= 23
Name=      7_20 : profit= 26, weight= 25
Name=       7_9 : profit= 25, weight= 15
Name=       7_6 : profit= 24, weight= 18
Name=      7_11 : profit= 23, weight= 21
Name=       7_1 : profit= 12, weight= 10
Name=       7_4 : profit= 12, weight=  5
Name=       7_5 : profit= 12, weight= 14
Name=       7_2 : profit= 10, weight= 10
Name=       7_3 : profit= 10, weight=  7
Group[8]
Name=      8_28 : profit=227, weight= 78
Name=      8_27 : profit=221, weight= 76
Name=      8_30 : profit=199, weight= 68
Name=      8_29 : profit=189, weight= 66
Name=      8_26 : profit=183, weight= 66
Name=      8_24 : profit=147, weight= 58
Name=      8_22 : profit=143, weight= 58
Name=      8_23 : profit=136, weight= 54
Name=      8_21 : profit=130, weight= 51
Name=      8_25 : profit=130, weight= 50
Name=      8_18 : profit=114, weight= 49
Name=      8_17 : profit=113, weight= 48
Name=      8_19 : profit=106, weight= 45
Name=      8_16 : profit= 96, weight= 43
Name=      8_20 : profit= 88, weight= 40
Name=      8_14 : profit= 69, weight= 34
Name=      8_12 : profit= 64, weight= 28
Name=      8_13 : profit= 63, weight= 31
Name=      8_11 : profit= 61, weight= 30
Name=      8_15 : profit= 53, weight= 27
Name=      8_10 : profit= 33, weight= 19
Name=       8_6 : profit= 31, weight= 21
Name=       8_9 : profit= 29, weight= 17
Name=       8_7 : profit= 28, weight= 17
Name=       8_8 : profit= 28, weight= 15
Name=       8_3 : profit= 18, weight= 11
Name=       8_1 : profit= 17, weight=  8
Name=       8_4 : profit= 13, weight=  9
Name=       8_5 : profit= 13, weight=  5
Name=       8_2 : profit=  6, weight=  5
Group[9]
Name=       9_1 : profit=332, weight=  6
Name=       9_2 : profit=258, weight=  8
Name=      9_26 : profit=222, weight= 55
Name=      9_30 : profit=218, weight= 55
Name=      9_28 : profit=213, weight= 55
Name=      9_27 : profit=203, weight= 49
Name=      9_29 : profit=188, weight= 49
Name=      9_25 : profit=184, weight= 46
Name=      9_23 : profit=173, weight= 48
Name=      9_24 : profit=164, weight= 45
Name=      9_21 : profit=159, weight= 42
Name=      9_22 : profit=149, weight= 41
Name=       9_4 : profit=122, weight=  8
Name=      9_17 : profit= 54, weight= 35
Name=      9_18 : profit= 49, weight= 27
Name=      9_19 : profit= 42, weight= 29
Name=      9_14 : profit= 37, weight= 19
Name=      9_11 : profit= 36, weight= 22
Name=      9_20 : profit= 34, weight= 26
Name=      9_16 : profit= 31, weight= 25
Name=      9_13 : profit= 30, weight= 21
Name=       9_8 : profit= 29, weight= 15
Name=      9_15 : profit= 27, weight= 19
Name=      9_10 : profit= 25, weight= 15
Name=      9_12 : profit= 23, weight= 16
Name=       9_9 : profit= 21, weight= 15
Name=       9_7 : profit= 18, weight= 15
Name=       9_6 : profit= 17, weight= 15
Name=       9_3 : profit=  0, weight=  8
Name=       9_5 : profit=  0, weight= 14
Group[10]
Name=     10_28 : profit=169, weight= 59
Name=     10_26 : profit=167, weight= 57
Name=     10_30 : profit=154, weight= 59
Name=     10_27 : profit=149, weight= 60
Name=     10_29 : profit=146, weight= 53
Name=     10_23 : profit=117, weight= 49
Name=     10_21 : profit=112, weight= 52
Name=     10_22 : profit=106, weight= 52
Name=     10_24 : profit=100, weight= 46
Name=     10_25 : profit=100, weight= 49
Name=     10_17 : profit= 71, weight= 42
Name=     10_18 : profit= 71, weight= 43
Name=     10_19 : profit= 71, weight= 43
Name=     10_20 : profit= 70, weight= 40
Name=     10_16 : profit= 55, weight= 36
Name=     10_13 : profit= 27, weight= 30
Name=     10_14 : profit= 26, weight= 29
Name=     10_15 : profit= 26, weight= 26
Name=     10_11 : profit= 23, weight= 28
Name=     10_12 : profit= 20, weight= 27
Name=      10_6 : profit= 17, weight= 23
Name=      10_7 : profit= 17, weight= 20
Name=      10_8 : profit= 16, weight= 23
Name=      10_9 : profit= 16, weight= 23
Name=     10_10 : profit= 16, weight= 21
Name=      10_5 : profit= 11, weight=  7
Name=      10_4 : profit=  8, weight= 14
Name=      10_1 : profit=  7, weight=  6
Name=      10_3 : profit=  7, weight= 12
Name=      10_2 : profit=  4, weight= 15
Group[11]
Name=     11_27 : profit=389, weight= 68
Name=     11_29 : profit=377, weight= 67
Name=     11_26 : profit=345, weight= 61
Name=     11_28 : profit=338, weight= 61
Name=     11_30 : profit=337, weight= 61
Name=     11_23 : profit=199, weight= 56
Name=     11_22 : profit=195, weight= 55
Name=     11_21 : profit=186, weight= 50
Name=     11_24 : profit=175, weight= 50
Name=     11_25 : profit=172, weight= 50
Name=     11_20 : profit=126, weight= 44
Name=     11_18 : profit=117, weight= 43
Name=     11_17 : profit=112, weight= 41
Name=     11_19 : profit=112, weight= 42
Name=     11_16 : profit=110, weight= 39
Name=     11_14 : profit= 66, weight= 37
Name=     11_11 : profit= 60, weight= 36
Name=     11_13 : profit= 59, weight= 32
Name=     11_12 : profit= 57, weight= 31
Name=     11_15 : profit= 53, weight= 27
Name=      11_1 : profit= 20, weight= 13
Name=      11_6 : profit= 14, weight= 19
Name=      11_2 : profit= 12, weight=  8
Name=      11_9 : profit= 12, weight= 19
Name=      11_7 : profit=  9, weight= 21
Name=      11_8 : profit=  9, weight= 20
Name=      11_4 : profit=  8, weight=  6
Name=     11_10 : profit=  8, weight= 19
Name=      11_3 : profit=  6, weight=  6
Name=      11_5 : profit=  0, weight=  6
Group[12]
Name=     12_28 : profit=236, weight= 72
Name=     12_29 : profit=225, weight= 72
Name=     12_27 : profit=218, weight= 69
Name=     12_26 : profit=213, weight= 71
Name=     12_30 : profit=213, weight= 69
Name=     12_21 : profit=142, weight= 62
Name=     12_25 : profit=131, weight= 61
Name=     12_22 : profit=120, weight= 54
Name=     12_23 : profit=120, weight= 53
Name=     12_24 : profit=116, weight= 51
Name=     12_19 : profit= 90, weight= 47
Name=     12_18 : profit= 84, weight= 48
Name=     12_17 : profit= 79, weight= 40
Name=     12_16 : profit= 77, weight= 44
Name=     12_20 : profit= 75, weight= 40
Name=     12_11 : profit= 55, weight= 31
Name=     12_12 : profit= 53, weight= 35
Name=     12_14 : profit= 53, weight= 36
Name=     12_15 : profit= 53, weight= 37
Name=     12_13 : profit= 44, weight= 30
Name=      12_9 : profit= 21, weight= 23
Name=      12_8 : profit= 19, weight= 28
Name=     12_10 : profit= 15, weight= 19
Name=      12_6 : profit= 13, weight= 16
Name=      12_5 : profit= 12, weight= 14
Name=      12_7 : profit= 11, weight= 29
Name=      12_4 : profit= 10, weight= 14
Name=      12_3 : profit=  8, weight=  8
Name=      12_2 : profit=  4, weight= 12
Name=      12_1 : profit=  3, weight=  5
Group[13]
Name=     13_29 : profit=270, weight= 57
Name=     13_26 : profit=240, weight= 53
Name=     13_30 : profit=237, weight= 55
Name=     13_27 : profit=234, weight= 54
Name=     13_28 : profit=229, weight= 51
Name=     13_23 : profit=114, weight= 46
Name=     13_21 : profit=112, weight= 47
Name=     13_24 : profit=110, weight= 43
Name=     13_25 : profit=110, weight= 47
Name=     13_22 : profit=106, weight= 50
Name=     13_20 : profit= 95, weight= 42
Name=     13_18 : profit= 91, weight= 42
Name=     13_19 : profit= 85, weight= 41
Name=     13_17 : profit= 79, weight= 42
Name=     13_11 : profit= 71, weight= 34
Name=     13_16 : profit= 67, weight= 37
Name=     13_14 : profit= 55, weight= 30
Name=     13_15 : profit= 55, weight= 30
Name=     13_12 : profit= 39, weight= 19
Name=     13_13 : profit= 38, weight= 24
Name=      13_7 : profit= 23, weight= 12
Name=      13_9 : profit= 21, weight= 11
Name=      13_6 : profit= 20, weight= 12
Name=     13_10 : profit= 20, weight= 12
Name=      13_8 : profit= 17, weight= 10
Name=      13_1 : profit= 16, weight=  5
Name=      13_4 : profit= 14, weight=  8
Name=      13_2 : profit= 12, weight=  6
Name=      13_5 : profit= 12, weight=  5
Name=      13_3 : profit= 10, weight=  7
Group[14]
Name=     14_26 : profit=188, weight= 71
Name=     14_27 : profit=178, weight= 69
Name=     14_28 : profit=177, weight= 70
Name=     14_29 : profit=177, weight= 69
Name=     14_30 : profit=170, weight= 69
Name=     14_24 : profit=153, weight= 65
Name=     14_25 : profit=152, weight= 60
Name=     14_23 : profit=149, weight= 63
Name=     14_22 : profit=141, weight= 61
Name=     14_21 : profit=140, weight= 60
Name=     14_18 : profit=107, weight= 55
Name=     14_19 : profit=107, weight= 53
Name=     14_17 : profit=101, weight= 51
Name=     14_16 : profit= 98, weight= 49
Name=     14_20 : profit= 95, weight= 52
Name=     14_14 : profit= 69, weight= 31
Name=     14_11 : profit= 68, weight= 34
Name=     14_15 : profit= 63, weight= 33
Name=     14_13 : profit= 59, weight= 29
Name=     14_12 : profit= 58, weight= 36
Name=      14_7 : profit= 42, weight= 24
Name=      14_6 : profit= 37, weight= 22
Name=      14_9 : profit= 29, weight= 14
Name=      14_8 : profit= 27, weight= 20
Name=     14_10 : profit= 23, weight= 15
Name=      14_4 : profit= 20, weight= 13
Name=      14_1 : profit= 17, weight= 10
Name=      14_2 : profit= 15, weight= 10
Name=      14_5 : profit= 14, weight= 10
Name=      14_3 : profit= 10, weight=  6
Group[15]
Name=     15_30 : profit=239, weight= 73
Name=     15_28 : profit=209, weight= 67
Name=     15_29 : profit=203, weight= 66
Name=     15_26 : profit=197, weight= 66
Name=     15_27 : profit=194, weight= 66
Name=     15_24 : profit=138, weight= 59
Name=     15_25 : profit=127, weight= 57
Name=     15_23 : profit=124, weight= 55
Name=     15_22 : profit=114, weight= 50
Name=     15_21 : profit=109, weight= 50
Name=     15_19 : profit= 59, weight= 37
Name=     15_18 : profit= 50, weight= 34
Name=     15_17 : profit= 49, weight= 42
Name=     15_16 : profit= 47, weight= 39
Name=     15_11 : profit= 43, weight= 32
Name=     15_14 : profit= 41, weight= 32
Name=     15_12 : profit= 36, weight= 26
Name=     15_15 : profit= 36, weight= 32
Name=     15_20 : profit= 35, weight= 35
Name=     15_13 : profit= 34, weight= 28
Name=      15_8 : profit= 20, weight= 23
Name=     15_10 : profit= 18, weight= 22
Name=      15_7 : profit= 17, weight= 14
Name=      15_5 : profit= 16, weight=  7
Name=      15_9 : profit= 15, weight= 17
Name=      15_4 : profit= 12, weight= 10
Name=      15_6 : profit= 11, weight= 17
Name=      15_1 : profit=  9, weight= 11
Name=      15_3 : profit=  7, weight= 10
Name=      15_2 : profit=  2, weight=  5
Group[16]
Name=     16_29 : profit=177, weight= 66
Name=     16_28 : profit=175, weight= 65
Name=     16_30 : profit=165, weight= 62
Name=     16_26 : profit=157, weight= 58
Name=     16_27 : profit=156, weight= 60
Name=     16_21 : profit=133, weight= 57
Name=     16_24 : profit=132, weight= 56
Name=     16_23 : profit=128, weight= 57
Name=     16_22 : profit=122, weight= 53
Name=     16_25 : profit=109, weight= 48
Name=     16_16 : profit= 87, weight= 43
Name=     16_19 : profit= 83, weight= 40
Name=     16_18 : profit= 78, weight= 40
Name=     16_17 : profit= 77, weight= 42
Name=     16_15 : profit= 76, weight= 36
Name=     16_20 : profit= 73, weight= 39
Name=     16_14 : profit= 71, weight= 37
Name=     16_11 : profit= 60, weight= 33
Name=     16_13 : profit= 59, weight= 35
Name=     16_12 : profit= 52, weight= 32
Name=      16_9 : profit= 25, weight= 27
Name=     16_10 : profit= 17, weight= 25
Name=      16_6 : profit= 16, weight= 22
Name=      16_7 : profit= 16, weight= 16
Name=      16_2 : profit= 13, weight=  9
Name=      16_3 : profit= 13, weight=  6
Name=      16_8 : profit= 13, weight= 21
Name=      16_1 : profit=  9, weight= 11
Name=      16_4 : profit=  7, weight= 12
Name=      16_5 : profit=  2, weight=  6
Group[17]
Name=     17_29 : profit=254, weight= 59
Name=     17_26 : profit=253, weight= 59
Name=     17_30 : profit=253, weight= 59
Name=     17_28 : profit=242, weight= 58
Name=     17_27 : profit=229, weight= 52
Name=     17_25 : profit=157, weight= 51
Name=     17_24 : profit=156, weight= 51
Name=     17_21 : profit=140, weight= 47
Name=     17_22 : profit=119, weight= 42
Name=     17_23 : profit=118, weight= 45
Name=     17_17 : profit= 83, weight= 37
Name=     17_19 : profit= 82, weight= 32
Name=     17_18 : profit= 80, weight= 35
Name=     17_16 : profit= 76, weight= 34
Name=     17_20 : profit= 69, weight= 34
Name=     17_12 : profit= 66, weight= 27
Name=     17_13 : profit= 56, weight= 27
Name=     17_14 : profit= 55, weight= 26
Name=     17_15 : profit= 55, weight= 22
Name=     17_11 : profit= 47, weight= 23
Name=      17_9 : profit= 22, weight= 18
Name=      17_7 : profit= 21, weight= 11
Name=      17_8 : profit= 19, weight= 13
Name=     17_10 : profit= 19, weight= 16
Name=      17_6 : profit= 16, weight= 13
Name=      17_4 : profit= 10, weight= 10
Name=      17_2 : profit=  9, weight=  6
Name=      17_3 : profit=  9, weight=  6
Name=      17_1 : profit=  8, weight=  6
Name=      17_5 : profit=  0, weight=  5
Group[18]
Name=     18_27 : profit=150, weight= 54
Name=     18_29 : profit=139, weight= 53
Name=     18_26 : profit=131, weight= 52
Name=     18_28 : profit=129, weight= 51
Name=     18_30 : profit=125, weight= 49
Name=     18_22 : profit=101, weight= 47
Name=     18_21 : profit= 99, weight= 44
Name=     18_24 : profit= 99, weight= 45
Name=     18_25 : profit= 98, weight= 45
Name=     18_23 : profit= 94, weight= 41
Name=     18_18 : profit= 54, weight= 37
Name=     18_17 : profit= 46, weight= 38
Name=     18_19 : profit= 45, weight= 37
Name=     18_20 : profit= 41, weight= 38
Name=     18_16 : profit= 39, weight= 36
Name=      18_8 : profit= 28, weight= 17
Name=     18_12 : profit= 26, weight= 31
Name=     18_13 : profit= 25, weight= 33
Name=     18_15 : profit= 22, weight= 25
Name=      18_3 : profit= 20, weight=  8
Name=     18_14 : profit= 20, weight= 33
Name=      18_7 : profit= 19, weight= 20
Name=     18_11 : profit= 15, weight= 32
Name=      18_4 : profit= 12, weight=  5
Name=      18_5 : profit= 12, weight=  7
Name=      18_9 : profit= 11, weight= 13
Name=     18_10 : profit= 11, weight= 14
Name=      18_6 : profit=  7, weight= 22
Name=      18_1 : profit=  2, weight=  5
Name=      18_2 : profit=  1, weight=  5
Group[19]
Name=     19_26 : profit=233, weight= 44
Name=     19_29 : profit=214, weight= 40
Name=     19_27 : profit=207, weight= 42
Name=     19_30 : profit=202, weight= 38
Name=     19_28 : profit=194, weight= 36
Name=     19_23 : profit=129, weight= 32
Name=     19_22 : profit=120, weight= 34
Name=     19_25 : profit=117, weight= 30
Name=     19_24 : profit=105, weight= 27
Name=     19_21 : profit= 98, weight= 26
Name=     19_17 : profit= 78, weight= 23
Name=     19_20 : profit= 77, weight= 22
Name=     19_19 : profit= 71, weight= 21
Name=     19_18 : profit= 68, weight= 21
Name=     19_16 : profit= 65, weight= 21
Name=     19_11 : profit= 43, weight= 13
Name=     19_13 : profit= 43, weight= 17
Name=     19_14 : profit= 43, weight= 18
Name=     19_12 : profit= 40, weight= 16
Name=     19_15 : profit= 38, weight= 15
Name=     19_10 : profit= 33, weight= 12
Name=      19_9 : profit= 32, weight=  9
Name=      19_6 : profit= 24, weight= 10
Name=      19_8 : profit= 22, weight=  9
Name=      19_7 : profit= 21, weight=  9
Name=      19_5 : profit= 19, weight=  7
Name=      19_3 : profit= 16, weight=  8
Name=      19_1 : profit= 15, weight=  8
Name=      19_2 : profit= 13, weight=  5
Name=      19_4 : profit= 10, weight=  6
Group[20]
Name=      20_2 : profit=840, weight= 13
Name=      20_4 : profit=339, weight= 13
Name=     20_29 : profit=129, weight= 70
Name=     20_27 : profit=118, weight= 67
Name=      20_1 : profit=114, weight= 14
Name=     20_28 : profit=114, weight= 65
Name=     20_30 : profit=113, weight= 60
Name=     20_26 : profit=106, weight= 61
Name=     20_23 : profit= 84, weight= 51
Name=     20_21 : profit= 83, weight= 48
Name=     20_24 : profit= 78, weight= 53
Name=     20_25 : profit= 78, weight= 54
Name=     20_16 : profit= 65, weight= 40
Name=     20_22 : profit= 64, weight= 45
Name=     20_18 : profit= 61, weight= 43
Name=     20_20 : profit= 61, weight= 43
Name=     20_17 : profit= 59, weight= 40
Name=     20_19 : profit= 58, weight= 38
Name=     20_15 : profit= 49, weight= 36
Name=     20_14 : profit= 45, weight= 30
Name=     20_11 : profit= 41, weight= 29
Name=     20_13 : profit= 40, weight= 35
Name=     20_12 : profit= 36, weight= 31
Name=      20_7 : profit= 33, weight= 18
Name=      20_3 : profit=  0, weight=  7
Name=      20_5 : profit=  0, weight= 12
Name=      20_6 : profit=  0, weight= 15
Name=      20_8 : profit=  0, weight= 21
Name=      20_9 : profit=  0, weight= 20
Name=     20_10 : profit=  0, weight= 26
Group[21]
Name=     21_29 : profit=171, weight= 74
Name=     21_30 : profit=149, weight= 66
Name=     21_28 : profit=147, weight= 70
Name=     21_27 : profit=145, weight= 68
Name=     21_26 : profit=126, weight= 67
Name=     21_23 : profit= 90, weight= 56
Name=     21_24 : profit= 88, weight= 56
Name=     21_22 : profit= 86, weight= 65
Name=     21_21 : profit= 85, weight= 55
Name=      21_2 : profit= 77, weight=  6
Name=     21_25 : profit= 76, weight= 56
Name=     21_18 : profit= 67, weight= 50
Name=     21_19 : profit= 63, weight= 45
Name=     21_16 : profit= 60, weight= 48
Name=     21_17 : profit= 52, weight= 46
Name=     21_20 : profit= 52, weight= 52
Name=     21_12 : profit= 50, weight= 30
Name=     21_13 : profit= 39, weight= 37
Name=     21_15 : profit= 33, weight= 33
Name=     21_11 : profit= 28, weight= 27
Name=     21_14 : profit= 28, weight= 37
Name=      21_7 : profit= 25, weight= 23
Name=      21_9 : profit= 20, weight= 18
Name=      21_8 : profit= 17, weight= 12
Name=     21_10 : profit= 11, weight= 11
Name=      21_6 : profit=  9, weight= 11
Name=      21_1 : profit=  0, weight=  5
Name=      21_3 : profit=  0, weight=  6
Name=      21_4 : profit=  0, weight=  5
Name=      21_5 : profit=  0, weight=  5
Group[22]
Name=     22_27 : profit=182, weight= 64
Name=     22_26 : profit=157, weight= 62
Name=     22_29 : profit=157, weight= 62
Name=     22_28 : profit=148, weight= 60
Name=     22_30 : profit=142, weight= 59
Name=     22_24 : profit=117, weight= 54
Name=     22_23 : profit=111, weight= 47
Name=     22_21 : profit=108, weight= 53
Name=     22_25 : profit=108, weight= 55
